"Date","Passage"
"2026-09-01","Gen 1-3","80"
"2026-09-02","Gen 4-6","80"
"2026-09-03","Gen 7-9","75"
"2026-09-04","Gen 10-11; Job 1-2","99"
"2026-09-05","Job 3-5","74"
"2026-09-06","Job 6-8","73"
"2026-09-07","Job 9-11","77"
"2026-09-08","Job 12-15","110"
"2026-09-09","Job 16-18","59"
"2026-09-10","Job 19-21","92"
"2026-09-11","Job 22-24","72"
"2026-09-12","Job 25-28","71"
"2026-09-13","Job 29-31","96"
"2026-09-14","Job 32-34","92"
"2026-09-15","Job 35-37","73"
"2026-09-16","Job 38-41","129"
"2026-09-17","Job 42; Gen 12-13","55"
"2026-09-18","Gen 14-16","61"
"2026-09-19","Gen 17-19","98"
"2026-09-20","Gen 20-23","96"
"2026-09-21","Gen 24-26","136"
"2026-09-22","Gen 27-29","103"
"2026-09-23","Gen 30-32","130"
"2026-09-24","Gen 33-36","123"
"2026-09-25","Gen 37-39","89"
"2026-09-26","Gen 40-42","118"
"2026-09-27","Gen 43-45","96"
"2026-09-28","Gen 46-49","120"
"2026-09-29","Gen 50; Ex 1-2","73"
"2026-09-30","Ex 3-5","76"
"2026-10-01","Ex 6-8","87"
"2026-10-02","Ex 9-12","125"
"2026-10-03","Ex 13-15","80"
"2026-10-04","Ex 16-18","79"
"2026-10-05","Ex 19-22","118"
"2026-10-06","Ex 23-25","91"
"2026-10-07","Ex 26-28","101"
"2026-10-08","Ex 29-31","102"
"2026-10-09","Ex 32-35","128"
"2026-10-10","Ex 36-38","98"
"2026-10-11","Ex 39-40; Lev 1","98"
"2026-10-12","Lev 2-4","68"
"2026-10-13","Lev 5-8","123"
"2026-10-14","Lev 9-11","91"
"2026-10-15","Lev 12-14","124"
"2026-10-16","Lev 15-17","83"
"2026-10-17","Lev 18-21","118"
"2026-10-18","Lev 22-24","100"
"2026-10-19","Lev 25-27","135"
"2026-10-20","Num 1-3","139"
"2026-10-21","Num 4-7","196"
"2026-10-22","Num 8-10","85"
