"Date","Passage"
"2026-09-01","Gen 1-3","80"
"2026-09-02","Gen 4-7","104"
"2026-09-03","Gen 8-11","115"
"2026-09-04","Gen 12-15","83"
"2026-09-05","Gen 16-18","76"
"2026-09-06","Gen 19-22","114"
"2026-09-07","Gen 23-26","156"
"2026-09-08","Gen 27-30","146"
"2026-09-09","Gen 31-34","138"
"2026-09-10","Gen 35-37","108"
"2026-09-11","Gen 38-41","133"
"2026-09-12","Gen 42-45","134"
"2026-09-13","Gen 46-49","120"
"2026-09-14","Gen 50; Ex 1-3","95"
"2026-09-15","Ex 4-6","84"
"2026-09-16","Ex 7-10","121"
"2026-09-17","Ex 11-14","114"
"2026-09-18","Ex 15-18","106"
"2026-09-19","Ex 19-22","118"
"2026-09-20","Ex 23-25","91"
"2026-09-21","Ex 26-29","147"
"2026-09-22","Ex 30-33","114"
"2026-09-23","Ex 34-37","137"
"2026-09-24","Ex 38-40; Lev 1","129"
"2026-09-25","Lev 2-4","68"
"2026-09-26","Lev 5-8","123"
"2026-09-27","Lev 9-12","99"
"2026-09-28","Lev 13-16","183"
"2026-09-29","Lev 17-20","110"
"2026-09-30","Lev 21-23","101"
"2026-10-01","Lev 24-27","158"
"2026-10-02","Num 1-4","188"
"2026-10-03","Num 5-8","173"
"2026-10-04","Num 9-12","110"
"2026-10-05","Num 13-15","119"
"2026-10-06","Num 16-19","117"
"2026-10-07","Num 20-23","135"
"2026-10-08","Num 24-27","131"
"2026-10-09","Num 28-31","141"
"2026-10-10","Num 32-34","127"
"2026-10-11","Num 35-36; Deut 1-2","130"
"2026-10-12","Deut 3-6","136"
"2026-10-13","Deut 7-10","97"
"2026-10-14","Deut 11-14","111"
"2026-10-15","Deut 15-17","65"
"2026-10-16","Deut 18-21","86"
"2026-10-17","Deut 22-25","96"
"2026-10-18","Deut 26-29","142"
"2026-10-19","Deut 30-33","131"
"2026-10-20","Deut 34; Josh 1-2","54"
"2026-10-21","Josh 3-6","83"
"2026-10-22","Josh 7-10","131"
"2026-10-23","Josh 11-14","95"
"2026-10-24","Josh 15-18","119"
"2026-10-25","Josh 19-21","105"
"2026-10-26","Josh 22-24; Jdg 1","119"
"2026-10-27","Jdg 2-5","109"
"2026-10-28","Jdg 6-9","157"
"2026-10-29","Jdg 10-13","98"
"2026-10-30","Jdg 14-16","71"
"2026-10-31","Jdg 17-20","122"
"2026-11-01","Jdg 21; Rut 1-3","88"
"2026-11-02","Rut 4; 1 Sa 1-3","107"
"2026-11-03","1 Sa 4-7","72"
"2026-11-04","1 Sa 8-10","76"
"2026-11-05","1 Sa 11-14","115"
"2026-11-06","1 Sa 15-18","146"
"2026-11-07","1 Sa 19-22","104"
"2026-11-08","1 Sa 23-26","120"
"2026-11-09","1 Sa 27-29","48"
"2026-11-10","1 Sa 30-31; 2 Sa 1-2","103"
"2026-11-11","2 Sa 3-6","99"
"2026-11-12","2 Sa 7-10","79"
"2026-11-13","2 Sa 11-13","97"
"2026-11-14","2 Sa 14-17","122"
"2026-11-15","2 Sa 18-21","124"
"2026-11-16","2 Sa 22-24; 1 Kgs 1","168"
"2026-11-17","1 Kgs 2-5","126"
"2026-11-18","1 Kgs 6-8","155"
"2026-11-19","1 Kgs 9-12","133"
"2026-11-20","1 Kgs 13-16","133"
"2026-11-21","1 Kgs 17-20","134"
"2026-11-22","1 Kgs 21-22; 2 Kgs 1-2","125"
"2026-11-23","2 Kgs 3-5","98"
"2026-11-24","2 Kgs 6-9","119"
"2026-11-25","2 Kgs 10-13","103"
"2026-11-26","2 Kgs 14-17","128"
"2026-11-27","2 Kgs 18-21","121"
