"Date","Passage"
"2026-09-01","Gen 1-2; Ps 1; Pro 1","56"
"2026-09-02","Gen 3-5; Ps 2; Pro 2","82"
"2026-09-03","Gen 6-8; Ps 3; Pro 3","68"
"2026-09-04","Gen 9-11; Ps 4; Pro 4","93"
"2026-09-05","Job 1-2; Ps 5; Pro 5","35"
"2026-09-06","Job 3-5; Ps 6; Pro 6","74"
"2026-09-07","Job 6-8; Ps 7; Pro 7","73"
"2026-09-08","Job 9-11; Ps 8; Pro 8","77"
"2026-09-09","Job 12-13; Ps 9; Pro 9","53"
"2026-09-10","Job 14-16; Ps 10; Pro 10","79"
"2026-09-11","Job 17-19; Ps 11; Pro 11","66"
"2026-09-12","Job 20-22; Ps 12; Pro 12","93"
"2026-09-13","Job 23-24; Ps 13; Pro 13","42"
"2026-09-14","Job 25-27; Ps 14; Pro 14","43"
"2026-09-15","Job 28-30; Ps 15; Pro 15","84"
"2026-09-16","Job 31-33; Ps 16; Pro 16","95"
"2026-09-17","Job 34-35; Ps 17; Pro 17","53"
"2026-09-18","Job 36-38; Ps 18; Pro 18","98"
"2026-09-19","Job 39-41; Ps 19; Pro 19","88"
"2026-09-20","Job 42; Gen 12-13; Ps 20; Pro 20","55"
"2026-09-21","Gen 14-15; Ps 21; Pro 21","45"
"2026-09-22","Gen 16-18; Ps 22; Pro 22","76"
"2026-09-23","Gen 19-21; Ps 23; Pro 23","90"
"2026-09-24","Gen 22-24; Ps 24; Pro 24","111"
"2026-09-25","Gen 25-27; Ps 25; Pro 25","115"
"2026-09-26","Gen 28-29; Ps 26; Pro 26","57"
"2026-09-27","Gen 30-32; Ps 27; Pro 27","130"
"2026-09-28","Gen 33-35; Ps 28; Pro 28","80"
"2026-09-29","Gen 36-38; Ps 29; Pro 29","109"
"2026-09-30","Gen 39-40; Ps 30; Pro 30","46"
"2026-10-01","Gen 41-43; Ps 31; Pro 31","129"
"2026-10-02","Gen 44-46; Ps 32; Pro 1","96"
"2026-10-03","Gen 47-49; Ps 33; Pro 2","86"
"2026-10-04","Gen 50; Ex 1; Ps 34; Pro 3","48"
"2026-10-05","Ex 2-4; Ps 35; Pro 4","78"
"2026-10-06","Ex 5-7; Ps 36; Pro 5","78"
"2026-10-07","Ex 8-10; Ps 37; Pro 6","96"
"2026-10-08","Ex 11-12; Ps 38; Pro 7","61"
"2026-10-09","Ex 13-15; Ps 39; Pro 8","80"
"2026-10-10","Ex 16-18; Ps 40; Pro 9","79"
"2026-10-11","Ex 19-21; Ps 41; Pro 10","87"
"2026-10-12","Ex 22-23; Ps 42; Pro 11","64"
"2026-10-13","Ex 24-26; Ps 43; Pro 12","95"
"2026-10-14","Ex 27-29; Ps 44; Pro 13","110"
"2026-10-15","Ex 30-32; Ps 45; Pro 14","91"
"2026-10-16","Ex 33-35; Ps 46; Pro 15","93"
"2026-10-17","Ex 36-37; Ps 47; Pro 16","67"
"2026-10-18","Ex 38-40; Ps 48; Pro 17","112"
"2026-10-19","Lev 1-3; Ps 49; Pro 18","50"
"2026-10-20","Lev 4-6; Ps 50; Pro 19","84"
"2026-10-21","Lev 7-8; Ps 51; Pro 20","74"
"2026-10-22","Lev 9-11; Ps 52; Pro 21","91"
"2026-10-23","Lev 12-14; Ps 53; Pro 22","124"
"2026-10-24","Lev 15-17; Ps 54; Pro 23","83"
"2026-10-25","Lev 18-19; Ps 55; Pro 24","67"
"2026-10-26","Lev 20-22; Ps 56; Pro 25","84"
"2026-10-27","Lev 23-25; Ps 57; Pro 26","122"
"2026-10-28","Lev 26-27; Num 1; Ps 58; Pro 27","134"
"2026-10-29","Num 2-3; Ps 59; Pro 28","85"
"2026-10-30","Num 4-6; Ps 60; Pro 29","107"
"2026-10-31","Num 7-9; Ps 61; Pro 30","138"
"2026-11-01","Num 10-12; Ps 62; Pro 31","87"
"2026-11-02","Num 13-14; Ps 63; Pro 1","78"
"2026-11-03","Num 15-17; Ps 64; Pro 2","104"
"2026-11-04","Num 18-20; Ps 65; Pro 3","83"
"2026-11-05","Num 21-23; Ps 66; Pro 4","106"
"2026-11-06","Num 24-26; Ps 67; Pro 5","108"
"2026-11-07","Num 27-28; Ps 68; Pro 6","54"
"2026-11-08","Num 29-31; Ps 69; Pro 7","110"
"2026-11-09","Num 32-34; Ps 70; Pro 8","127"
"2026-11-10","Num 35-36; Deut 1; Ps 71; Pro 9","93"
"2026-11-11","Deut 2-3; Ps 72; Pro 10","66"
"2026-11-12","Deut 4-6; Ps 73; Pro 11","107"
"2026-11-13","Deut 7-9; Ps 74; Pro 12","75"
"2026-11-14","Deut 10-12; Ps 75; Pro 13","86"
"2026-11-15","Deut 13-14; Ps 76; Pro 14","47"
"2026-11-16","Deut 15-17; Ps 77; Pro 15","65"
"2026-11-17","Deut 18-20; Ps 78; Pro 16","63"
"2026-11-18","Deut 21-23; Ps 79; Pro 17","78"
"2026-11-19","Deut 24-25; Ps 80; Pro 18","41"
"2026-11-20","Deut 26-28; Ps 81; Pro 19","113"
"2026-11-21","Deut 29-31; Ps 82; Pro 20","79"
"2026-11-22","Deut 32-34; Ps 83; Pro 21","93"
"2026-11-23","Josh 1-2; Ps 84; Pro 22","42"
"2026-11-24","Josh 3-5; Ps 85; Pro 23","56"
"2026-11-25","Josh 6-8; Ps 86; Pro 24","88"
"2026-11-26","Josh 9-11; Ps 87; Pro 25","93"
"2026-11-27","Josh 12-14; Ps 88; Pro 26","72"
"2026-11-28","Josh 15-16; Ps 89; Pro 27","73"
"2026-11-29","Josh 17-19; Ps 90; Pro 28","97"
"2026-11-30","Josh 20-22; Ps 91; Pro 29","88"
