"Date","Passage"
"2026-09-01","Gen 1-3; Ps 1; Pro 1","80"
"2026-09-02","Gen 4-7; Ps 2; Pro 2","104"
"2026-09-03","Gen 8-11; Ps 3; Pro 3","115"
"2026-09-04","Gen 12-15; Ps 4; Pro 4","83"
"2026-09-05","Gen 16-18; Ps 5; Pro 5","76"
"2026-09-06","Gen 19-22; Ps 6; Pro 6","114"
"2026-09-07","Gen 23-26; Ps 7; Pro 7","156"
"2026-09-08","Gen 27-30; Ps 8; Pro 8","146"
"2026-09-09","Gen 31-34; Ps 9; Pro 9","138"
"2026-09-10","Gen 35-37; Ps 10; Pro 10","108"
"2026-09-11","Gen 38-41; Ps 11; Pro 11","133"
"2026-09-12","Gen 42-45; Ps 12; Pro 12","134"
"2026-09-13","Gen 46-49; Ps 13; Pro 13","120"
"2026-09-14","Gen 50; Ex 1-3; Ps 14; Pro 14","95"
"2026-09-15","Ex 4-6; Ps 15; Pro 15","84"
"2026-09-16","Ex 7-10; Ps 16; Pro 16","121"
"2026-09-17","Ex 11-14; Ps 17; Pro 17","114"
"2026-09-18","Ex 15-18; Ps 18; Pro 18","106"
"2026-09-19","Ex 19-22; Ps 19; Pro 19","118"
"2026-09-20","Ex 23-25; Ps 20; Pro 20","91"
"2026-09-21","Ex 26-29; Ps 21; Pro 21","147"
"2026-09-22","Ex 30-33; Ps 22; Pro 22","114"
"2026-09-23","Ex 34-37; Ps 23; Pro 23","137"
"2026-09-24","Ex 38-40; Lev 1; Ps 24; Pro 24","129"
"2026-09-25","Lev 2-4; Ps 25; Pro 25","68"
"2026-09-26","Lev 5-8; Ps 26; Pro 26","123"
"2026-09-27","Lev 9-12; Ps 27; Pro 27","99"
"2026-09-28","Lev 13-16; Ps 28; Pro 28","183"
"2026-09-29","Lev 17-20; Ps 29; Pro 29","110"
"2026-09-30","Lev 21-23; Ps 30; Pro 30","101"
"2026-10-01","Lev 24-27; Ps 31; Pro 31","158"
"2026-10-02","Num 1-4; Ps 32; Pro 1","188"
"2026-10-03","Num 5-8; Ps 33; Pro 2","173"
"2026-10-04","Num 9-12; Ps 34; Pro 3","110"
"2026-10-05","Num 13-15; Ps 35; Pro 4","119"
"2026-10-06","Num 16-19; Ps 36; Pro 5","117"
"2026-10-07","Num 20-23; Ps 37; Pro 6","135"
"2026-10-08","Num 24-27; Ps 38; Pro 7","131"
"2026-10-09","Num 28-31; Ps 39; Pro 8","141"
"2026-10-10","Num 32-34; Ps 40; Pro 9","127"
"2026-10-11","Num 35-36; Deut 1-2; Ps 41; Pro 10","130"
"2026-10-12","Deut 3-6; Ps 42; Pro 11","136"
"2026-10-13","Deut 7-10; Ps 43; Pro 12","97"
"2026-10-14","Deut 11-14; Ps 44; Pro 13","111"
"2026-10-15","Deut 15-17; Ps 45; Pro 14","65"
"2026-10-16","Deut 18-21; Ps 46; Pro 15","86"
"2026-10-17","Deut 22-25; Ps 47; Pro 16","96"
"2026-10-18","Deut 26-29; Ps 48; Pro 17","142"
"2026-10-19","Deut 30-33; Ps 49; Pro 18","131"
"2026-10-20","Deut 34; Josh 1-2; Ps 50; Pro 19","54"
"2026-10-21","Josh 3-6; Ps 51; Pro 20","83"
"2026-10-22","Josh 7-10; Ps 52; Pro 21","131"
"2026-10-23","Josh 11-14; Ps 53; Pro 22","95"
"2026-10-24","Josh 15-18; Ps 54; Pro 23","119"
"2026-10-25","Josh 19-21; Ps 55; Pro 24","105"
"2026-10-26","Josh 22-24; Jdg 1; Ps 56; Pro 25","119"
"2026-10-27","Jdg 2-5; Ps 57; Pro 26","109"
"2026-10-28","Jdg 6-9; Ps 58; Pro 27","157"
"2026-10-29","Jdg 10-13; Ps 59; Pro 28","98"
"2026-10-30","Jdg 14-16; Ps 60; Pro 29","71"
"2026-10-31","Jdg 17-20; Ps 61; Pro 30","122"
"2026-11-01","Jdg 21; Rut 1-3; Ps 62; Pro 31","88"
"2026-11-02","Rut 4; 1 Sa 1-3; Ps 63; Pro 1","107"
"2026-11-03","1 Sa 4-7; Ps 64; Pro 2","72"
"2026-11-04","1 Sa 8-10; Ps 65; Pro 3","76"
"2026-11-05","1 Sa 11-14; Ps 66; Pro 4","115"
"2026-11-06","1 Sa 15-18; Ps 67; Pro 5","146"
"2026-11-07","1 Sa 19-22; Ps 68; Pro 6","104"
"2026-11-08","1 Sa 23-26; Ps 69; Pro 7","120"
"2026-11-09","1 Sa 27-29; Ps 70; Pro 8","48"
"2026-11-10","1 Sa 30-31; 2 Sa 1-2; Ps 71; Pro 9","103"
"2026-11-11","2 Sa 3-6; Ps 72; Pro 10","99"
"2026-11-12","2 Sa 7-10; Ps 73; Pro 11","79"
"2026-11-13","2 Sa 11-13; Ps 74; Pro 12","97"
"2026-11-14","2 Sa 14-17; Ps 75; Pro 13","122"
"2026-11-15","2 Sa 18-21; Ps 76; Pro 14","124"
"2026-11-16","2 Sa 22-24; 1 Kgs 1; Ps 77; Pro 15","168"
"2026-11-17","1 Kgs 2-5; Ps 78; Pro 16","126"
"2026-11-18","1 Kgs 6-8; Ps 79; Pro 17","155"
"2026-11-19","1 Kgs 9-12; Ps 80; Pro 18","133"
"2026-11-20","1 Kgs 13-16; Ps 81; Pro 19","133"
"2026-11-21","1 Kgs 17-20; Ps 82; Pro 20","134"
"2026-11-22","1 Kgs 21-22; 2 Kgs 1-2; Ps 83; Pro 21","125"
"2026-11-23","2 Kgs 3-5; Ps 84; Pro 22","98"
"2026-11-24","2 Kgs 6-9; Ps 85; Pro 23","119"
"2026-11-25","2 Kgs 10-13; Ps 86; Pro 24","103"
"2026-11-26","2 Kgs 14-17; Ps 87; Pro 25","128"
"2026-11-27","2 Kgs 18-21; Ps 88; Pro 26","121"
"2026-11-28","2 Kgs 22-24; Ps 89; Pro 27","77"
"2026-11-29","2 Kgs 25; 1 Chr 1-3; Ps 90; Pro 28","163"
"2026-11-30","1 Chr 4-7; Ps 91; Pro 29","190"
"2026-12-01","1 Chr 8-11; Ps 92; Pro 30","145"
"2026-12-02","1 Chr 12-15; Ps 93; Pro 31","100"
"2026-12-03","1 Chr 16-18; Ps 94; Pro 1","87"
"2026-12-04","1 Chr 19-22; Ps 95; Pro 2","76"
"2026-12-05","1 Chr 23-26; Ps 96; Pro 3","126"
"2026-12-06","1 Chr 27-29; 2 Chr 1; Ps 97; Pro 4","102"
"2026-12-07","2 Chr 2-5; Ps 98; Pro 5","71"
"2026-12-08","2 Chr 6-8; Ps 99; Pro 6","82"
"2026-12-09","2 Chr 9-12; Ps 100; Pro 7","89"
"2026-12-10","2 Chr 13-16; Ps 101; Pro 8","70"
"2026-12-11","2 Chr 17-20; Ps 102; Pro 9","101"
"2026-12-12","2 Chr 21-24; Ps 103; Pro 10","80"
"2026-12-13","2 Chr 25-27; Ps 104; Pro 11","60"
"2026-12-14","2 Chr 28-31; Ps 105; Pro 12","111"
"2026-12-15","2 Chr 32-35; Ps 106; Pro 13","118"
"2026-12-16","2 Chr 36; Ezr 1-3; Ps 107; Pro 14","117"
"2026-12-17","Ezr 4-7; Ps 108; Pro 15","91"
"2026-12-18","Ezr 8-10; Ps 109; Pro 16","95"
"2026-12-19","Neh 1-4; Ps 110; Pro 17","86"
"2026-12-20","Neh 5-8; Ps 111; Pro 18","129"
"2026-12-21","Neh 9-12; Ps 112; Pro 19","160"
"2026-12-22","Neh 13; Est 1-3; Ps 113; Pro 20","91"
"2026-12-23","Est 4-6; Ps 114; Pro 21","45"
"2026-12-24","Est 7-10; Ps 115; Pro 22","62"
"2026-12-25","Job 1-4; Ps 116; Pro 23","82"
"2026-12-26","Job 5-8; Ps 117; Pro 24","100"
"2026-12-27","Job 9-12; Ps 118; Pro 25","102"
"2026-12-28","Job 13-15; Ps 119; Pro 26","85"
"2026-12-29","Job 16-19; Ps 120; Pro 27","88"
"2026-12-30","Job 20-23; Ps 121; Pro 28","110"
"2026-12-31","Job 24-27; Ps 122; Pro 29","68"
"2027-01-01","Job 28-31; Ps 123; Pro 30","124"
"2027-01-02","Job 32-34; Ps 124; Pro 31","92"
"2027-01-03","Job 35-38; Ps 125; Pro 1","114"
"2027-01-04","Job 39-42; Ps 126; Pro 2","105"
"2027-01-05","Ps 1-4; Pro 3","34"
"2027-01-06","Ps 5-8; Pro 4","48"
"2027-01-07","Ps 9-11; Pro 5","45"
"2027-01-08","Ps 12-15; Pro 6","26"
"2027-01-09","Ps 16-19; Pro 7","90"
"2027-01-10","Ps 20-23; Pro 8","59"
"2027-01-11","Ps 24-27; Pro 9","58"
"2027-01-12","Ps 28-30; Pro 10","32"
"2027-01-13","Ps 31-34; Pro 11","79"
"2027-01-14","Ps 35-38; Pro 12","102"
"2027-01-15","Ps 39-42; Pro 13","54"
"2027-01-16","Ps 43-46; Pro 14","59"
"2027-01-17","Ps 47-49; Pro 15","43"
"2027-01-18","Ps 50-53; Pro 16","57"
"2027-01-19","Ps 54-57; Pro 17","54"
"2027-01-20","Ps 58-61; Pro 18","48"
"2027-01-21","Ps 62-65; Pro 19","46"
"2027-01-22","Ps 66-68; Pro 20","62"
"2027-01-23","Ps 69-72; Pro 21","85"
"2027-01-24","Ps 73-76; Pro 22","73"
"2027-01-25","Ps 77-80; Pro 23","124"
"2027-01-26","Ps 81-83; Pro 24","42"
"2027-01-27","Ps 84-87; Pro 25","49"
"2027-01-28","Ps 88-91; Pro 26","103"
"2027-01-29","Ps 92-95; Pro 27","54"
"2027-01-30","Ps 96-99; Pro 28","43"
"2027-01-31","Ps 100-102; Pro 29","41"
"2027-02-01","Ps 103-106; Pro 30","150"
"2027-02-02","Ps 107-110; Pro 31","94"
"2027-02-03","Ps 111-114; Pro 1","37"
"2027-02-04","Ps 115-118; Pro 2","68"
"2027-02-05","Ps 119-121; Pro 3","191"
"2027-02-06","Ps 122-125; Pro 4","26"
"2027-02-07","Ps 126-129; Pro 5","25"
"2027-02-08","Ps 130-133; Pro 6","32"
"2027-02-09","Ps 134-137; Pro 7","59"
"2027-02-10","Ps 138-140; Pro 8","45"
"2027-02-11","Ps 141-144; Pro 9","44"
"2027-02-12","Ps 145-148; Pro 10","65"
"2027-02-13","Ps 149-150; Pro 1-2","70"
"2027-02-14","Pro 3-6; Ps 127","120"
"2027-02-15","Pro 7-9; Ps 128","81"
"2027-02-16","Pro 10-13; Ps 129","116"
"2027-02-17","Pro 14-17; Ps 130","129"
"2027-02-18","Pro 18-21; Ps 131","114"
"2027-02-19","Pro 22-25; Ps 132","126"
"2027-02-20","Pro 26-28; Ps 133","83"
"2027-02-21","Pro 29-31; Ecc 1; Ps 134","109"
"2027-02-22","Ecc 2-5; Ps 135; Pro 11","84"
"2027-02-23","Ecc 6-9; Ps 136; Pro 12","76"
"2027-02-24","Ecc 10-12; Sos 1; Ps 137; Pro 13","61"
"2027-02-25","Sos 2-4; Ps 138; Pro 14","44"
"2027-02-26","Sos 5-8; Ps 139; Pro 15","56"
"2027-02-27","Isa 1-4; Ps 140; Pro 16","85"
"2027-02-28","Isa 5-8; Ps 141; Pro 17","90"
"2027-03-01","Isa 9-12; Ps 142; Pro 18","77"
"2027-03-02","Isa 13-15; Ps 143; Pro 19","63"
"2027-03-03","Isa 16-19; Ps 144; Pro 20","60"
"2027-03-04","Isa 20-23; Ps 145; Pro 21","66"
"2027-03-05","Isa 24-27; Ps 146; Pro 22","69"
"2027-03-06","Isa 28-31; Ps 147; Pro 23","95"
"2027-03-07","Isa 32-34; Ps 148; Pro 24","61"
"2027-03-08","Isa 35-38; Ps 149; Pro 25","92"
"2027-03-09","Isa 39-42; Ps 150; Pro 26","93"
