"Date","Passage"
"2026-09-01","Gen 1-3; Ps 1; Pro 1","80"
"2026-09-02","Gen 4-6; Ps 2; Pro 2","80"
"2026-09-03","Gen 7-9; Ps 3; Pro 3","75"
"2026-09-04","Gen 10-13; Ps 4; Pro 4","102"
"2026-09-05","Gen 14-16; Ps 5; Pro 5","61"
"2026-09-06","Gen 17-19; Ps 6; Pro 6","98"
"2026-09-07","Gen 20-22; Ps 7; Pro 7","76"
"2026-09-08","Gen 23-26; Ps 8; Pro 8","156"
"2026-09-09","Gen 27-29; Ps 9; Pro 9","103"
"2026-09-10","Gen 30-32; Ps 10; Pro 10","130"
"2026-09-11","Gen 33-35; Ps 11; Pro 11","80"
"2026-09-12","Gen 36-39; Ps 12; Pro 12","132"
"2026-09-13","Gen 40-42; Ps 13; Pro 13","118"
"2026-09-14","Gen 43-45; Ps 14; Pro 14","96"
"2026-09-15","Gen 46-48; Ps 15; Pro 15","87"
"2026-09-16","Gen 49-50; Ex 1-2; Ps 16; Pro 16","106"
"2026-09-17","Ex 3-5; Ps 17; Pro 17","76"
"2026-09-18","Ex 6-8; Ps 18; Pro 18","87"
"2026-09-19","Ex 9-11; Ps 19; Pro 19","74"
"2026-09-20","Ex 12-15; Ps 20; Pro 20","131"
"2026-09-21","Ex 16-18; Ps 21; Pro 21","79"
"2026-09-22","Ex 19-21; Ps 22; Pro 22","87"
"2026-09-23","Ex 22-24; Ps 23; Pro 23","82"
"2026-09-24","Ex 25-28; Ps 24; Pro 24","141"
"2026-09-25","Ex 29-31; Ps 25; Pro 25","102"
"2026-09-26","Ex 32-34; Ps 26; Pro 26","93"
"2026-09-27","Ex 35-37; Ps 27; Pro 27","102"
"2026-09-28","Ex 38-40; Lev 1; Ps 28; Pro 28","129"
"2026-09-29","Lev 2-4; Ps 29; Pro 29","68"
"2026-09-30","Lev 5-7; Ps 30; Pro 30","87"
"2026-10-01","Lev 8-10; Ps 31; Pro 31","80"
"2026-10-02","Lev 11-14; Ps 32; Pro 1","171"
"2026-10-03","Lev 15-17; Ps 33; Pro 2","83"
"2026-10-04","Lev 18-20; Ps 34; Pro 3","94"
"2026-10-05","Lev 21-24; Ps 35; Pro 4","124"
"2026-10-06","Lev 25-27; Ps 36; Pro 5","135"
"2026-10-07","Num 1-3; Ps 37; Pro 6","139"
"2026-10-08","Num 4-6; Ps 38; Pro 7","107"
"2026-10-09","Num 7-10; Ps 39; Pro 8","174"
"2026-10-10","Num 11-13; Ps 40; Pro 9","84"
"2026-10-11","Num 14-16; Ps 41; Pro 10","136"
"2026-10-12","Num 17-19; Ps 42; Pro 11","67"
"2026-10-13","Num 20-23; Ps 43; Pro 12","135"
"2026-10-14","Num 24-26; Ps 44; Pro 13","108"
"2026-10-15","Num 27-29; Ps 45; Pro 14","94"
"2026-10-16","Num 30-32; Ps 46; Pro 15","112"
