"Date","Passage"
"2026-09-01","Gen 1-3","80"
"2026-09-02","Gen 4-6","80"
"2026-09-03","Gen 7-9","75"
"2026-09-04","Gen 10-13","102"
"2026-09-05","Gen 14-16","61"
"2026-09-06","Gen 17-19","98"
"2026-09-07","Gen 20-22","76"
"2026-09-08","Gen 23-26","156"
"2026-09-09","Gen 27-29","103"
"2026-09-10","Gen 30-32","130"
"2026-09-11","Gen 33-35","80"
"2026-09-12","Gen 36-39","132"
"2026-09-13","Gen 40-42","118"
"2026-09-14","Gen 43-45","96"
"2026-09-15","Gen 46-48","87"
"2026-09-16","Gen 49-50; Ex 1-2","106"
"2026-09-17","Ex 3-5","76"
"2026-09-18","Ex 6-8","87"
"2026-09-19","Ex 9-11","74"
"2026-09-20","Ex 12-15","131"
"2026-09-21","Ex 16-18","79"
"2026-09-22","Ex 19-21","87"
"2026-09-23","Ex 22-24","82"
"2026-09-24","Ex 25-28","141"
"2026-09-25","Ex 29-31","102"
"2026-09-26","Ex 32-34","93"
"2026-09-27","Ex 35-37","102"
"2026-09-28","Ex 38-40; Lev 1","129"
"2026-09-29","Lev 2-4","68"
"2026-09-30","Lev 5-7","87"
"2026-10-01","Lev 8-10","80"
"2026-10-02","Lev 11-14","171"
"2026-10-03","Lev 15-17","83"
"2026-10-04","Lev 18-20","94"
"2026-10-05","Lev 21-24","124"
"2026-10-06","Lev 25-27","135"
"2026-10-07","Num 1-3","139"
"2026-10-08","Num 4-6","107"
"2026-10-09","Num 7-10","174"
"2026-10-10","Num 11-13","84"
"2026-10-11","Num 14-16","136"
"2026-10-12","Num 17-19","67"
"2026-10-13","Num 20-23","135"
"2026-10-14","Num 24-26","108"
"2026-10-15","Num 27-29","94"
"2026-10-16","Num 30-32","112"
"2026-10-17","Num 33-36","132"
"2026-10-18","Deut 1-3","112"
"2026-10-19","Deut 4-6","107"
"2026-10-20","Deut 7-9","75"
"2026-10-21","Deut 10-13","104"
"2026-10-22","Deut 14-16","74"
