"Date","Passage"
"2026-09-01","Gen 1-2; Luk 1","136"
"2026-09-02","Gen 3-5","82"
"2026-09-03","Gen 6-7; John 1","97"
"2026-09-04","Gen 8-10; Mat 1","108"
"2026-09-05","Gen 11; Job 1","54"
"2026-09-06","Job 2-4; Luk 2","112"
"2026-09-07","Job 5-6; Mat 2","80"
"2026-09-08","Job 7-9","78"
"2026-09-09","Job 10-11; Mat 3","59"
"2026-09-10","Job 12-14; Mk 1","120"
"2026-09-11","Job 15-16; Luk 3","95"
"2026-09-12","Job 17-19","66"
"2026-09-13","Job 20-22; Mat 4","118"
"2026-09-14","Job 23-24; Luk 4","86"
"2026-09-15","Job 25-27","43"
"2026-09-16","Job 28-29; Luk 5","92"
"2026-09-17","Job 30-32; John 2","118"
"2026-09-18","Job 33-34; John 3","106"
"2026-09-19","Job 35-37","73"
"2026-09-20","Job 38-39; John 4","125"
"2026-09-21","Job 40-42; Mat 8","109"
"2026-09-22","Gen 12-13","38"
"2026-09-23","Gen 14-16; Mk 2","89"
"2026-09-24","Gen 17-19; John 5","145"
"2026-09-25","Gen 20-21; Mat 12","102"
"2026-09-26","Gen 22-24","111"
"2026-09-27","Gen 25-26; Mk 3","104"
"2026-09-28","Gen 27-29; Luk 6","152"
"2026-09-29","Gen 30-31","98"
"2026-09-30","Gen 32-34; Mat 5","131"
"2026-10-01","Gen 35-36; Mat 6","106"
"2026-10-02","Gen 37-39; Mat 7","118"
"2026-10-03","Gen 40-41","80"
"2026-10-04","Gen 42-44; Mat 9","144"
"2026-10-05","Gen 45-47; Luk 7","143"
"2026-10-06","Gen 48-49","55"
"2026-10-07","Gen 50; Ex 1-2; Mat 11","103"
"2026-10-08","Ex 3-4; Luk 11","107"
"2026-10-09","Ex 5-7; Mat 13","136"
"2026-10-10","Ex 8-9","67"
"2026-10-11","Ex 10-12; Luk 8","146"
"2026-10-12","Ex 13-14; Mk 4","94"
"2026-10-13","Ex 15-17","79"
"2026-10-14","Ex 18-19; Mk 5","95"
"2026-10-15","Ex 20-22; Mat 10","135"
"2026-10-16","Ex 23-25; Mat 14","127"
"2026-10-17","Ex 26-27","58"
"2026-10-18","Ex 28-30; Mk 6","183"
"2026-10-19","Ex 31-32; Luk 9","115"
"2026-10-20","Ex 33-35","93"
"2026-10-21","Ex 36-37; John 6","138"
"2026-10-22","Ex 38-40; Mat 15","151"
"2026-10-23","Lev 1-2; Mk 7","70"
"2026-10-24","Lev 3-5","71"
"2026-10-25","Lev 6-7; Mat 16","96"
"2026-10-26","Lev 8-10; Mk 8","118"
"2026-10-27","Lev 11-13","114"
"2026-10-28","Lev 14-15; Mat 17","117"
"2026-10-29","Lev 16-18; Mk 9","130"
"2026-10-30","Lev 19-20; Mat 18","99"
"2026-10-31","Lev 21-23","101"
"2026-11-01","Lev 24-25; John 7","131"
"2026-11-02","Lev 26-27; Num 1; John 8","193"
"2026-11-03","Num 2-3","85"
"2026-11-04","Num 4-6; John 9","148"
"2026-11-05","Num 7-8; John 10","157"
"2026-11-06","Num 9-11; Luk 10","136"
"2026-11-07","Num 12-14","94"
"2026-11-08","Num 15; Ps 90; Luk 12","117"
"2026-11-09","Num 16-18; Luk 13","130"
"2026-11-10","Num 19-20","51"
"2026-11-11","Num 21-23; Luk 14","141"
"2026-11-12","Num 24-25; Luk 15","75"
"2026-11-13","Num 26-28","119"
"2026-11-14","Num 29-30; Luk 16","87"
"2026-11-15","Num 31-33; Luk 17","189"
"2026-11-16","Num 34-35; John 11","120"
"2026-11-17","Num 36; Deut 1-2","96"
"2026-11-18","Deut 3-5; Luk 18","154"
"2026-11-19","Deut 6-7; Mat 19","81"
"2026-11-20","Deut 8-10","71"
"2026-11-21","Deut 11-12; Mk 10","116"
"2026-11-22","Deut 13-15; Mat 20","104"
"2026-11-23","Deut 16-17; Mat 21","88"
"2026-11-24","Deut 18-20","63"
"2026-11-25","Deut 21-22; Luk 19","101"
"2026-11-26","Deut 23-25; Mk 11","99"
"2026-11-27","Deut 26-27","45"
"2026-11-28","Deut 28-30; John 12","167"
"2026-11-29","Deut 31-33; Mat 22","157"
"2026-11-30","Deut 34; Ps 91; Mk 12","72"
"2026-12-01","Josh 1-3","59"
"2026-12-02","Josh 4-5; Mat 23","78"
"2026-12-03","Josh 6-8; Luk 20","135"
"2026-12-04","Josh 9-10","70"
"2026-12-05","Josh 11-13; Luk 21","118"
"2026-12-06","Josh 14-15; Mk 13","115"
"2026-12-07","Josh 16-18; Mat 24","107"
"2026-12-08","Josh 19-20","60"
"2026-12-09","Josh 21-23; Mat 25","141"
"2026-12-10","Josh 24; Jdg 1-2; Mat 26","167"
"2026-12-11","Jdg 3-4","55"
"2026-12-12","Jdg 5-7; Mk 14","168"
"2026-12-13","Jdg 8-9; Luk 22","163"
"2026-12-14","Jdg 10-12; John 13","111"
"2026-12-15","Jdg 13-14","45"
"2026-12-16","Jdg 15-17; John 14","95"
"2026-12-17","Jdg 18-19; John 15","88"
"2026-12-18","Jdg 20-21; Rut 1","95"
"2026-12-19","Rut 2-3; John 16","74"
"2026-12-20","Rut 4; 1 Sa 1-2; John 17","112"
"2026-12-21","1 Sa 3-5; Mat 27","121"
"2026-12-22","1 Sa 6-7","38"
"2026-12-23","1 Sa 8-10; Mk 15","123"
"2026-12-24","1 Sa 11-12; Luk 23","96"
