"Date","Passage"
"2026-09-01","Gen 1-2; Luk 1; Ps 1; Pro 1","136"
"2026-09-02","Gen 3-4; Ps 2; Pro 2","50"
"2026-09-03","Gen 5-6; John 1; Ps 3; Pro 3","105"
"2026-09-04","Gen 7-8; Mat 1; Ps 4; Pro 4","71"
"2026-09-05","Gen 9-10; Ps 5; Pro 5","61"
"2026-09-06","Gen 11; Job 1; Luk 2; Ps 6; Pro 6","106"
"2026-09-07","Job 2-3; Mat 2; Ps 7; Pro 7","62"
"2026-09-08","Job 4-5; Ps 8; Pro 8","48"
"2026-09-09","Job 6-7; Mat 3; Ps 9; Pro 9","68"
"2026-09-10","Job 8-9; Mk 1; Ps 10; Pro 10","102"
"2026-09-11","Job 10-11; Luk 3; Ps 11; Pro 11","80"
"2026-09-12","Job 12-13; Ps 12; Pro 12","53"
"2026-09-13","Job 14-15; Mat 4; Ps 13; Pro 13","82"
"2026-09-14","Job 16-17; Luk 4; Ps 14; Pro 14","82"
"2026-09-15","Job 18-19; Ps 15; Pro 15","50"
"2026-09-16","Job 20-21; Luk 5; Ps 16; Pro 16","102"
"2026-09-17","Job 22-23; John 2; Ps 17; Pro 17","72"
"2026-09-18","Job 24-25; John 3; Ps 18; Pro 18","67"
"2026-09-19","Job 26-27; Ps 19; Pro 19","37"
"2026-09-20","Job 28-29; John 4; Ps 20; Pro 20","107"
"2026-09-21","Job 30-32; Mat 8; Ps 21; Pro 21","127"
"2026-09-22","Job 33-34; Ps 22; Pro 22","70"
"2026-09-23","Job 35-36; Mk 2; Ps 23; Pro 23","77"
"2026-09-24","Job 37-38; John 5; Ps 24; Pro 24","112"
"2026-09-25","Job 39-40; Mat 12; Ps 25; Pro 25","104"
"2026-09-26","Job 41-42; Ps 26; Pro 26","51"
"2026-09-27","Gen 12-13; Mk 3; Ps 27; Pro 27","73"
"2026-09-28","Gen 14-15; Luk 6; Ps 28; Pro 28","94"
"2026-09-29","Gen 16-17; Ps 29; Pro 29","43"
"2026-09-30","Gen 18-19; Mat 5; Ps 30; Pro 30","119"
"2026-10-01","Gen 20-21; Mat 6; Ps 31; Pro 31","86"
"2026-10-02","Gen 22-23; Mat 7; Ps 32; Pro 1","73"
"2026-10-03","Gen 24-25; Ps 33; Pro 2","101"
"2026-10-04","Gen 26-27; Mat 9; Ps 34; Pro 3","119"
"2026-10-05","Gen 28-29; Luk 7; Ps 35; Pro 4","107"
"2026-10-06","Gen 30-31; Ps 36; Pro 5","98"
"2026-10-07","Gen 32-33; Mat 11; Ps 37; Pro 6","82"
"2026-10-08","Gen 34-35; Luk 11; Ps 38; Pro 7","114"
"2026-10-09","Gen 36-37; Mat 13; Ps 39; Pro 8","137"
"2026-10-10","Gen 38-39; Ps 40; Pro 9","53"
"2026-10-11","Gen 40-42; Luk 8; Ps 41; Pro 10","174"
"2026-10-12","Gen 43-44; Mk 4; Ps 42; Pro 11","109"
"2026-10-13","Gen 45-46; Ps 43; Pro 12","62"
"2026-10-14","Gen 47-48; Mk 5; Ps 44; Pro 13","96"
"2026-10-15","Gen 49-50; Mat 10; Ps 45; Pro 14","101"
"2026-10-16","Ex 1-2; Mat 14; Ps 46; Pro 15","83"
"2026-10-17","Ex 3-4; Ps 47; Pro 16","53"
"2026-10-18","Ex 5-6; Mk 6; Ps 48; Pro 17","109"
"2026-10-19","Ex 7-8; Luk 9; Ps 49; Pro 18","119"
"2026-10-20","Ex 9-10; Ps 50; Pro 19","64"
"2026-10-21","Ex 11-12; John 6; Ps 51; Pro 20","132"
"2026-10-22","Ex 13-14; Mat 15; Ps 52; Pro 21","92"
"2026-10-23","Ex 15-16; Mk 7; Ps 53; Pro 22","100"
"2026-10-24","Ex 17-18; Ps 54; Pro 23","43"
"2026-10-25","Ex 19-20; Mat 16; Ps 55; Pro 24","79"
"2026-10-26","Ex 21-22; Mk 8; Ps 56; Pro 25","105"
"2026-10-27","Ex 23-24; Ps 57; Pro 26","51"
"2026-10-28","Ex 25-26; Mat 17; Ps 58; Pro 27","104"
"2026-10-29","Ex 27-28; Mk 9; Ps 59; Pro 28","114"
"2026-10-30","Ex 29-30; Mat 18; Ps 60; Pro 29","119"
"2026-10-31","Ex 31-33; Ps 61; Pro 30","76"
"2026-11-01","Ex 34-35; John 7; Ps 62; Pro 31","123"
"2026-11-02","Ex 36-37; John 8; Ps 63; Pro 1","126"
"2026-11-03","Ex 38-39; Ps 64; Pro 2","74"
"2026-11-04","Ex 40; Lev 1; John 9; Ps 65; Pro 3","96"
