"Date","Passage"
"2026-09-01","Gen 1-3; Mat 1; Ps 1; Pro 1","105"
"2026-09-02","Gen 4-6; Ps 2; Pro 2","80"
"2026-09-03","Gen 7-9; Mat 2; Ps 3; Pro 3","98"
"2026-09-04","Gen 10-12; Mat 3; Ps 4; Pro 4","101"
"2026-09-05","Gen 13-15; Ps 5; Pro 5","63"
"2026-09-06","Gen 16-18; Mat 4; Ps 6; Pro 6","101"
"2026-09-07","Gen 19-21; Mat 5; Ps 7; Pro 7","138"
"2026-09-08","Gen 22-24; Ps 8; Pro 8","111"
"2026-09-09","Gen 25-27; Mat 6; Ps 9; Pro 9","149"
"2026-09-10","Gen 28-30; Mat 7; Ps 10; Pro 10","129"
"2026-09-11","Gen 31-33; Mat 8; Ps 11; Pro 11","141"
"2026-09-12","Gen 34-37; Ps 12; Pro 12","139"
"2026-09-13","Gen 38-40; Mat 9; Ps 13; Pro 13","114"
"2026-09-14","Gen 41-43; Mat 10; Ps 14; Pro 14","171"
"2026-09-15","Gen 44-46; Ps 15; Pro 15","96"
"2026-09-16","Gen 47-49; Mat 11; Ps 16; Pro 16","116"
"2026-09-17","Gen 50; Ex 1-2; Mat 12; Ps 17; Pro 17","123"
"2026-09-18","Ex 3-5; Mat 13; Ps 18; Pro 18","134"
"2026-09-19","Ex 6-8; Ps 19; Pro 19","87"
"2026-09-20","Ex 9-11; Mat 14; Ps 20; Pro 20","110"
"2026-09-21","Ex 12-14; Mat 15; Ps 21; Pro 21","143"
"2026-09-22","Ex 15-17; Ps 22; Pro 22","79"
"2026-09-23","Ex 18-20; Mat 16; Ps 23; Pro 23","106"
"2026-09-24","Ex 21-24; Mat 17; Ps 24; Pro 24","145"
"2026-09-25","Ex 25-27; Mat 18; Ps 25; Pro 25","133"
"2026-09-26","Ex 28-30; Ps 26; Pro 26","127"
"2026-09-27","Ex 31-33; Mat 19; Ps 27; Pro 27","106"
"2026-09-28","Ex 34-36; Mat 20; Ps 28; Pro 28","142"
"2026-09-29","Ex 37-39; Ps 29; Pro 29","103"
"2026-09-30","Ex 40; Lev 1-2; Mat 21; Ps 30; Pro 30","117"
"2026-10-01","Lev 3-5; Mat 22; Ps 31; Pro 31","117"
"2026-10-02","Lev 6-8; Mat 23; Ps 32; Pro 1","143"
"2026-10-03","Lev 9-11; Ps 33; Pro 2","91"
"2026-10-04","Lev 12-14; Mat 24; Ps 34; Pro 3","175"
"2026-10-05","Lev 15-17; Mat 25; Ps 35; Pro 4","129"
"2026-10-06","Lev 18-21; Ps 36; Pro 5","118"
"2026-10-07","Lev 22-24; Mat 26; Ps 37; Pro 6","175"
"2026-10-08","Lev 25-27; Mat 27; Ps 38; Pro 7","201"
"2026-10-09","Num 1-3; Mat 28; Ps 39; Pro 8","159"
"2026-10-10","Num 4-6; Ps 40; Pro 9","107"
"2026-10-11","Num 7-9; Mk 1; Ps 41; Pro 10","183"
"2026-10-12","Num 10-12; Mk 2; Ps 42; Pro 11","115"
"2026-10-13","Num 13-15; Ps 43; Pro 12","119"
"2026-10-14","Num 16-18; Mk 3; Ps 44; Pro 13","130"
"2026-10-15","Num 19-21; Mk 4; Ps 45; Pro 14","127"
"2026-10-16","Num 22-24; Mk 5; Ps 46; Pro 15","139"
"2026-10-17","Num 25-27; Ps 47; Pro 16","106"
"2026-10-18","Num 28-31; Mk 6; Ps 48; Pro 17","197"
"2026-10-19","Num 32-34; Mk 7; Ps 49; Pro 18","164"
"2026-10-20","Num 35-36; Deut 1; Ps 50; Pro 19","93"
"2026-10-21","Deut 2-4; Mk 8; Ps 51; Pro 20","153"
"2026-10-22","Deut 5-7; Mk 9; Ps 52; Pro 21","134"
"2026-10-23","Deut 8-10; Mk 10; Ps 53; Pro 22","123"
"2026-10-24","Deut 11-13; Ps 54; Pro 23","82"
"2026-10-25","Deut 14-16; Mk 11; Ps 55; Pro 24","107"
"2026-10-26","Deut 17-19; Mk 12; Ps 56; Pro 25","107"
"2026-10-27","Deut 20-22; Ps 57; Pro 26","73"
"2026-10-28","Deut 23-25; Mk 13; Ps 58; Pro 27","103"
"2026-10-29","Deut 26-29; Mk 14; Ps 59; Pro 28","214"
"2026-10-30","Deut 30-32; Mk 15; Ps 60; Pro 29","149"
"2026-10-31","Deut 33-34; Josh 1; Ps 61; Pro 30","59"
"2026-11-01","Josh 2-4; Mk 16; Ps 62; Pro 31","85"
"2026-11-02","Josh 5-7; Luk 1; Ps 63; Pro 1","148"
"2026-11-03","Josh 8-10; Ps 64; Pro 2","105"
"2026-11-04","Josh 11-13; Luk 2; Ps 65; Pro 3","132"
"2026-11-05","Josh 14-16; Luk 3; Ps 66; Pro 4","126"
"2026-11-06","Josh 17-19; Luk 4; Ps 67; Pro 5","141"
"2026-11-07","Josh 20-22; Ps 68; Pro 6","88"
"2026-11-08","Josh 23-24; Jdg 1; Luk 5; Ps 69; Pro 7","124"
"2026-11-09","Jdg 2-4; Luk 6; Ps 70; Pro 8","127"
"2026-11-10","Jdg 5-8; Ps 71; Pro 9","131"
"2026-11-11","Jdg 9-11; Luk 7; Ps 72; Pro 10","165"
"2026-11-12","Jdg 12-14; Luk 8; Ps 73; Pro 11","116"
"2026-11-13","Jdg 15-17; Ps 74; Pro 12","64"
"2026-11-14","Jdg 18-20; Luk 9; Ps 75; Pro 13","171"
"2026-11-15","Jdg 21; Rut 1-2; Luk 10; Ps 76; Pro 14","112"
"2026-11-16","Rut 3-4; 1 Sa 1; Luk 11; Ps 77; Pro 15","122"
"2026-11-17","1 Sa 2-4; Ps 78; Pro 16","79"
"2026-11-18","1 Sa 5-7; Luk 12; Ps 79; Pro 17","109"
"2026-11-19","1 Sa 8-10; Luk 13; Ps 80; Pro 18","111"
"2026-11-20","1 Sa 11-13; Ps 81; Pro 19","63"
"2026-11-21","1 Sa 14-16; Luk 14; Ps 82; Pro 20","145"
"2026-11-22","1 Sa 17-20; Luk 15; Ps 83; Pro 21","186"
