"Date","Passage"
"2026-09-01","Gen 1-2; Mat 1; Ps 1; Pro 1","81"
"2026-09-02","Gen 3-5; Ps 2; Pro 2","82"
"2026-09-03","Gen 6-7; Mat 2; Ps 3; Pro 3","69"
"2026-09-04","Gen 8-10; Mat 3; Ps 4; Pro 4","100"
"2026-09-05","Gen 11-12; Ps 5; Pro 5","52"
"2026-09-06","Gen 13-15; Mat 4; Ps 6; Pro 6","88"
"2026-09-07","Gen 16-17; Mat 5; Ps 7; Pro 7","91"
"2026-09-08","Gen 18-20; Ps 8; Pro 8","89"
"2026-09-09","Gen 21-22; Mat 6; Ps 9; Pro 9","92"
"2026-09-10","Gen 23-25; Mat 7; Ps 10; Pro 10","150"
"2026-09-11","Gen 26-27; Mat 8; Ps 11; Pro 11","115"
"2026-09-12","Gen 28-30; Ps 12; Pro 12","100"
"2026-09-13","Gen 31-33; Mat 9; Ps 13; Pro 13","145"
"2026-09-14","Gen 34-35; Mat 10; Ps 14; Pro 14","102"
"2026-09-15","Gen 36-38; Ps 15; Pro 15","109"
"2026-09-16","Gen 39-40; Mat 11; Ps 16; Pro 16","76"
"2026-09-17","Gen 41-43; Mat 12; Ps 17; Pro 17","179"
"2026-09-18","Gen 44-45; Mat 13; Ps 18; Pro 18","120"
"2026-09-19","Gen 46-48; Ps 19; Pro 19","87"
"2026-09-20","Gen 49-50; Mat 14; Ps 20; Pro 20","95"
"2026-09-21","Ex 1-3; Mat 15; Ps 21; Pro 21","108"
"2026-09-22","Ex 4-5; Ps 22; Pro 22","54"
"2026-09-23","Ex 6-8; Mat 16; Ps 23; Pro 23","115"
"2026-09-24","Ex 9-11; Mat 17; Ps 24; Pro 24","101"
"2026-09-25","Ex 12-13; Mat 18; Ps 25; Pro 25","108"
"2026-09-26","Ex 14-16; Ps 26; Pro 26","94"
"2026-09-27","Ex 17-18; Mat 19; Ps 27; Pro 27","73"
"2026-09-28","Ex 19-21; Mat 20; Ps 28; Pro 28","121"
"2026-09-29","Ex 22-23; Ps 29; Pro 29","64"
"2026-09-30","Ex 24-26; Mat 21; Ps 30; Pro 30","141"
"2026-10-01","Ex 27-28; Mat 22; Ps 31; Pro 31","110"
"2026-10-02","Ex 29-31; Mat 23; Ps 32; Pro 1","141"
"2026-10-03","Ex 32-33; Ps 33; Pro 2","58"
"2026-10-04","Ex 34-36; Mat 24; Ps 34; Pro 3","159"
"2026-10-05","Ex 37-39; Mat 25; Ps 35; Pro 4","149"
"2026-10-06","Ex 40; Lev 1; Ps 36; Pro 5","55"
"2026-10-07","Lev 2-4; Mat 26; Ps 37; Pro 6","143"
"2026-10-08","Lev 5-6; Mat 27; Ps 38; Pro 7","115"
"2026-10-09","Lev 7-9; Mat 28; Ps 39; Pro 8","118"
"2026-10-10","Lev 10-11; Ps 40; Pro 9","67"
"2026-10-11","Lev 12-14; Mk 1; Ps 41; Pro 10","169"
"2026-10-12","Lev 15-16; Mk 2; Ps 42; Pro 11","95"
"2026-10-13","Lev 17-19; Ps 43; Pro 12","83"
"2026-10-14","Lev 20-21; Mk 3; Ps 44; Pro 13","86"
"2026-10-15","Lev 22-24; Mk 4; Ps 45; Pro 14","141"
"2026-10-16","Lev 25-27; Mk 5; Ps 46; Pro 15","178"
"2026-10-17","Num 1-2; Ps 47; Pro 16","88"
"2026-10-18","Num 3-5; Mk 6; Ps 48; Pro 17","187"
"2026-10-19","Num 6-7; Mk 7; Ps 49; Pro 18","153"
"2026-10-20","Num 8-10; Ps 50; Pro 19","85"
"2026-10-21","Num 11-12; Mk 8; Ps 51; Pro 20","89"
"2026-10-22","Num 13-15; Mk 9; Ps 52; Pro 21","169"
"2026-10-23","Num 16-17; Mk 10; Ps 53; Pro 22","115"
"2026-10-24","Num 18-20; Ps 54; Pro 23","83"
"2026-10-25","Num 21-22; Mk 11; Ps 55; Pro 24","109"
"2026-10-26","Num 23-25; Mk 12; Ps 56; Pro 25","117"
"2026-10-27","Num 26-28; Ps 57; Pro 26","119"
"2026-10-28","Num 29-30; Mk 13; Ps 58; Pro 27","93"
"2026-10-29","Num 31-33; Mk 14; Ps 59; Pro 28","224"
"2026-10-30","Num 34-35; Mk 15; Ps 60; Pro 29","110"
"2026-10-31","Num 36; Deut 1-2; Ps 61; Pro 30","96"
"2026-11-01","Deut 3-4; Mk 16; Ps 62; Pro 31","98"
"2026-11-02","Deut 5-7; Luk 1; Ps 63; Pro 1","164"
"2026-11-03","Deut 8-9; Ps 64; Pro 2","49"
"2026-11-04","Deut 10-12; Luk 2; Ps 65; Pro 3","138"
"2026-11-05","Deut 13-14; Luk 3; Ps 66; Pro 4","85"
"2026-11-06","Deut 15-17; Luk 4; Ps 67; Pro 5","109"
"2026-11-07","Deut 18-20; Ps 68; Pro 6","63"
"2026-11-08","Deut 21-22; Luk 5; Ps 69; Pro 7","92"
"2026-11-09","Deut 23-25; Luk 6; Ps 70; Pro 8","115"
"2026-11-10","Deut 26-27; Ps 71; Pro 9","45"
"2026-11-11","Deut 28-30; Luk 7; Ps 72; Pro 10","167"
"2026-11-12","Deut 31-32; Luk 8; Ps 73; Pro 11","138"
"2026-11-13","Deut 33-34; Josh 1; Ps 74; Pro 12","59"
"2026-11-14","Josh 2-3; Luk 9; Ps 75; Pro 13","103"
"2026-11-15","Josh 4-6; Luk 10; Ps 76; Pro 14","108"
"2026-11-16","Josh 7-8; Luk 11; Ps 77; Pro 15","115"
"2026-11-17","Josh 9-11; Ps 78; Pro 16","93"
"2026-11-18","Josh 12-14; Luk 12; Ps 79; Pro 17","131"
"2026-11-19","Josh 15-16; Luk 13; Ps 80; Pro 18","108"
"2026-11-20","Josh 17-19; Ps 81; Pro 19","97"
"2026-11-21","Josh 20-21; Luk 14; Ps 82; Pro 20","89"
"2026-11-22","Josh 22-24; Luk 15; Ps 83; Pro 21","115"
"2026-11-23","Jdg 1-2; Luk 16; Ps 84; Pro 22","90"
"2026-11-24","Jdg 3-5; Ps 85; Pro 23","86"
"2026-11-25","Jdg 6-7; Luk 17; Ps 86; Pro 24","102"
"2026-11-26","Jdg 8-10; Luk 18; Ps 87; Pro 25","153"
"2026-11-27","Jdg 11-12; Ps 88; Pro 26","55"
"2026-11-28","Jdg 13-15; Luk 19; Ps 89; Pro 27","113"
"2026-11-29","Jdg 16-18; Luk 20; Ps 90; Pro 28","122"
"2026-11-30","Jdg 19-20; Luk 21; Ps 91; Pro 29","116"
"2026-12-01","Jdg 21; Rut 1-2; Ps 92; Pro 30","70"
"2026-12-02","Rut 3-4; Luk 22; Ps 93; Pro 31","111"
"2026-12-03","1 Sa 1-3; Luk 23; Ps 94; Pro 1","141"
"2026-12-04","1 Sa 4-5; Ps 95; Pro 2","34"
"2026-12-05","1 Sa 6-8; Luk 24; Ps 96; Pro 3","113"
"2026-12-06","1 Sa 9-10; John 1; Ps 97; Pro 4","105"
"2026-12-07","1 Sa 11-13; John 2; Ps 98; Pro 5","88"
"2026-12-08","1 Sa 14-15; Ps 99; Pro 6","87"
"2026-12-09","1 Sa 16-18; John 3; Ps 100; Pro 7","147"
"2026-12-10","1 Sa 19-21; John 4; Ps 101; Pro 8","135"
"2026-12-11","1 Sa 22-23; Ps 102; Pro 9","52"
"2026-12-12","1 Sa 24-26; John 5; Ps 103; Pro 10","138"
"2026-12-13","1 Sa 27-28; John 6; Ps 104; Pro 11","108"
"2026-12-14","1 Sa 29-31; John 7; Ps 105; Pro 12","108"
"2026-12-15","2 Sa 1-2; Ps 106; Pro 13","59"
"2026-12-16","2 Sa 3-5; John 8; Ps 107; Pro 14","135"
"2026-12-17","2 Sa 6-7; John 9; Ps 108; Pro 15","93"
"2026-12-18","2 Sa 8-10; Ps 109; Pro 16","50"
"2026-12-19","2 Sa 11-12; John 10; Ps 110; Pro 17","100"
"2026-12-20","2 Sa 13-15; John 11; Ps 111; Pro 18","166"
"2026-12-21","2 Sa 16-18; John 12; Ps 112; Pro 19","135"
"2026-12-22","2 Sa 19-20; Ps 113; Pro 20","69"
"2026-12-23","2 Sa 21-23; John 13; Ps 114; Pro 21","150"
"2026-12-24","2 Sa 24; 1 Kgs 1; John 14; Ps 115; Pro 22","109"
"2026-12-25","1 Kgs 2-4; Ps 116; Pro 23","108"
"2026-12-26","1 Kgs 5-6; John 15; Ps 117; Pro 24","83"
"2026-12-27","1 Kgs 7-9; John 16; Ps 118; Pro 25","178"
"2026-12-28","1 Kgs 10-11; John 17; Ps 119; Pro 26","98"
"2026-12-29","1 Kgs 12-14; Ps 120; Pro 27","98"
"2026-12-30","1 Kgs 15-16; John 18; Ps 121; Pro 28","108"
"2026-12-31","1 Kgs 17-19; John 19; Ps 122; Pro 29","133"
"2027-01-01","1 Kgs 20-22; Ps 123; Pro 30","125"
"2027-01-02","2 Kgs 1-2; John 20; Ps 124; Pro 31","74"
"2027-01-03","2 Kgs 3-5; John 21; Ps 125; Pro 1","123"
"2027-01-04","2 Kgs 6-7; Acts 1; Ps 126; Pro 2","79"
"2027-01-05","2 Kgs 8-10; Ps 127; Pro 3","102"
"2027-01-06","2 Kgs 11-12; Acts 2; Ps 128; Pro 4","89"
"2027-01-07","2 Kgs 13-15; Acts 3; Ps 129; Pro 5","118"
"2027-01-08","2 Kgs 16-17; Ps 130; Pro 6","61"
"2027-01-09","2 Kgs 18-20; Acts 4; Ps 131; Pro 7","132"
"2027-01-10","2 Kgs 21-22; Acts 5; Ps 132; Pro 8","88"
"2027-01-11","2 Kgs 23-25; Acts 6; Ps 133; Pro 9","102"
"2027-01-12","1 Chr 1-3; Ps 134; Pro 10","133"
"2027-01-13","1 Chr 4-5; Acts 7; Ps 135; Pro 11","129"
"2027-01-14","1 Chr 6-8; Acts 8; Ps 136; Pro 12","201"
"2027-01-15","1 Chr 9-10; Ps 137; Pro 13","58"
"2027-01-16","1 Chr 11-13; Acts 9; Ps 138; Pro 14","144"
"2027-01-17","1 Chr 14-15; Acts 10; Ps 139; Pro 15","94"
"2027-01-18","1 Chr 16-18; Acts 11; Ps 140; Pro 16","117"
"2027-01-19","1 Chr 19-20; Ps 141; Pro 17","27"
"2027-01-20","1 Chr 21-23; Acts 12; Ps 142; Pro 18","106"
"2027-01-21","1 Chr 24-25; Acts 13; Ps 143; Pro 19","114"
"2027-01-22","1 Chr 26-28; Ps 144; Pro 20","87"
"2027-01-23","1 Chr 29; 2 Chr 1-2; Acts 14; Ps 145; Pro 21","93"
"2027-01-24","2 Chr 3-4; Acts 15; Ps 146; Pro 22","80"
"2027-01-25","2 Chr 5-7; Ps 147; Pro 23","78"
"2027-01-26","2 Chr 8-9; Acts 16; Ps 148; Pro 24","89"
"2027-01-27","2 Chr 10-12; Acts 17; Ps 149; Pro 25","92"
"2027-01-28","2 Chr 13-14; Acts 18; Ps 150; Pro 26","65"
"2027-01-29","2 Chr 15-17; Ps 1; Pro 27","52"
"2027-01-30","2 Chr 18-19; Acts 19; Ps 2; Pro 28","86"
