"Date","Passage"
"2026-09-01","Gen 1-2; Mat 1","81"
"2026-09-02","Gen 3-5","82"
"2026-09-03","Gen 6-7; Mat 2","69"
"2026-09-04","Gen 8-10; Mat 3","100"
"2026-09-05","Gen 11-12","52"
"2026-09-06","Gen 13-15; Mat 4","88"
"2026-09-07","Gen 16-17; Mat 5","91"
"2026-09-08","Gen 18-20","89"
"2026-09-09","Gen 21-22; Mat 6","92"
"2026-09-10","Gen 23-25; Mat 7","150"
"2026-09-11","Gen 26-27; Mat 8","115"
"2026-09-12","Gen 28-30","100"
"2026-09-13","Gen 31-33; Mat 9","145"
"2026-09-14","Gen 34-35; Mat 10","102"
"2026-09-15","Gen 36-38","109"
"2026-09-16","Gen 39-40; Mat 11","76"
"2026-09-17","Gen 41-43; Mat 12","179"
"2026-09-18","Gen 44-45; Mat 13","120"
"2026-09-19","Gen 46-48","87"
"2026-09-20","Gen 49-50; Mat 14","95"
"2026-09-21","Ex 1-3; Mat 15","108"
"2026-09-22","Ex 4-5","54"
"2026-09-23","Ex 6-8; Mat 16","115"
"2026-09-24","Ex 9-11; Mat 17","101"
"2026-09-25","Ex 12-13; Mat 18","108"
"2026-09-26","Ex 14-16","94"
"2026-09-27","Ex 17-18; Mat 19","73"
"2026-09-28","Ex 19-21; Mat 20","121"
"2026-09-29","Ex 22-23","64"
"2026-09-30","Ex 24-26; Mat 21","141"
"2026-10-01","Ex 27-28; Mat 22","110"
"2026-10-02","Ex 29-31; Mat 23","141"
"2026-10-03","Ex 32-33","58"
"2026-10-04","Ex 34-36; Mat 24","159"
"2026-10-05","Ex 37-39; Mat 25","149"
"2026-10-06","Ex 40; Lev 1","55"
"2026-10-07","Lev 2-4; Mat 26","143"
"2026-10-08","Lev 5-6; Mat 27","115"
"2026-10-09","Lev 7-9; Mat 28","118"
"2026-10-10","Lev 10-11","67"
"2026-10-11","Lev 12-14; Mk 1","169"
"2026-10-12","Lev 15-16; Mk 2","95"
"2026-10-13","Lev 17-19","83"
"2026-10-14","Lev 20-21; Mk 3","86"
"2026-10-15","Lev 22-24; Mk 4","141"
"2026-10-16","Lev 25-27; Mk 5","178"
"2026-10-17","Num 1-2","88"
"2026-10-18","Num 3-5; Mk 6","187"
"2026-10-19","Num 6-7; Mk 7","153"
"2026-10-20","Num 8-10","85"
"2026-10-21","Num 11-12; Mk 8","89"
"2026-10-22","Num 13-15; Mk 9","169"
"2026-10-23","Num 16-17; Mk 10","115"
"2026-10-24","Num 18-20","83"
"2026-10-25","Num 21-22; Mk 11","109"
"2026-10-26","Num 23-25; Mk 12","117"
"2026-10-27","Num 26-28","119"
"2026-10-28","Num 29-30; Mk 13","93"
"2026-10-29","Num 31-33; Mk 14","224"
"2026-10-30","Num 34-35; Mk 15","110"
"2026-10-31","Num 36; Deut 1-2","96"
"2026-11-01","Deut 3-4; Mk 16","98"
"2026-11-02","Deut 5-7; Luk 1","164"
"2026-11-03","Deut 8-9","49"
"2026-11-04","Deut 10-12; Luk 2","138"
"2026-11-05","Deut 13-14; Luk 3","85"
"2026-11-06","Deut 15-17; Luk 4","109"
"2026-11-07","Deut 18-20","63"
"2026-11-08","Deut 21-22; Luk 5","92"
"2026-11-09","Deut 23-25; Luk 6","115"
"2026-11-10","Deut 26-27","45"
"2026-11-11","Deut 28-30; Luk 7","167"
"2026-11-12","Deut 31-32; Luk 8","138"
"2026-11-13","Deut 33-34; Josh 1","59"
"2026-11-14","Josh 2-3; Luk 9","103"
"2026-11-15","Josh 4-6; Luk 10","108"
"2026-11-16","Josh 7-8; Luk 11","115"
"2026-11-17","Josh 9-11","93"
"2026-11-18","Josh 12-14; Luk 12","131"
"2026-11-19","Josh 15-16; Luk 13","108"
"2026-11-20","Josh 17-19","97"
"2026-11-21","Josh 20-21; Luk 14","89"
"2026-11-22","Josh 22-24; Luk 15","115"
"2026-11-23","Jdg 1-2; Luk 16","90"
"2026-11-24","Jdg 3-5","86"
"2026-11-25","Jdg 6-7; Luk 17","102"
"2026-11-26","Jdg 8-10; Luk 18","153"
"2026-11-27","Jdg 11-12","55"
"2026-11-28","Jdg 13-15; Luk 19","113"
"2026-11-29","Jdg 16-18; Luk 20","122"
"2026-11-30","Jdg 19-20; Luk 21","116"
"2026-12-01","Jdg 21; Rut 1-2","70"
"2026-12-02","Rut 3-4; Luk 22","111"
"2026-12-03","1 Sa 1-3; Luk 23","141"
"2026-12-04","1 Sa 4-5","34"
"2026-12-05","1 Sa 6-8; Luk 24","113"
"2026-12-06","1 Sa 9-10; John 1","105"
"2026-12-07","1 Sa 11-13; John 2","88"
"2026-12-08","1 Sa 14-15","87"
"2026-12-09","1 Sa 16-18; John 3","147"
"2026-12-10","1 Sa 19-21; John 4","135"
"2026-12-11","1 Sa 22-23","52"
"2026-12-12","1 Sa 24-26; John 5","138"
"2026-12-13","1 Sa 27-28; John 6","108"
"2026-12-14","1 Sa 29-31; John 7","108"
"2026-12-15","2 Sa 1-2","59"
"2026-12-16","2 Sa 3-5; John 8","135"
"2026-12-17","2 Sa 6-7; John 9","93"
"2026-12-18","2 Sa 8-10","50"
"2026-12-19","2 Sa 11-12; John 10","100"
"2026-12-20","2 Sa 13-15; John 11","166"
"2026-12-21","2 Sa 16-18; John 12","135"
"2026-12-22","2 Sa 19-20","69"
"2026-12-23","2 Sa 21-23; John 13","150"
"2026-12-24","2 Sa 24; 1 Kgs 1; John 14","109"
"2026-12-25","1 Kgs 2-4","108"
"2026-12-26","1 Kgs 5-6; John 15","83"
"2026-12-27","1 Kgs 7-9; John 16","178"
"2026-12-28","1 Kgs 10-11; John 17","98"
"2026-12-29","1 Kgs 12-14","98"
"2026-12-30","1 Kgs 15-16; John 18","108"
"2026-12-31","1 Kgs 17-19; John 19","133"
"2027-01-01","1 Kgs 20-22","125"
"2027-01-02","2 Kgs 1-2; John 20","74"
"2027-01-03","2 Kgs 3-5; John 21","123"
"2027-01-04","2 Kgs 6-7; Acts 1","79"
"2027-01-05","2 Kgs 8-10","102"
"2027-01-06","2 Kgs 11-12; Acts 2","89"
"2027-01-07","2 Kgs 13-15; Acts 3","118"
"2027-01-08","2 Kgs 16-17","61"
"2027-01-09","2 Kgs 18-20; Acts 4","132"
"2027-01-10","2 Kgs 21-22; Acts 5","88"
"2027-01-11","2 Kgs 23-25; Acts 6","102"
"2027-01-12","1 Chr 1-3","133"
"2027-01-13","1 Chr 4-5; Acts 7","129"
"2027-01-14","1 Chr 6-8; Acts 8","201"
"2027-01-15","1 Chr 9-10","58"
"2027-01-16","1 Chr 11-13; Acts 9","144"
"2027-01-17","1 Chr 14-15; Acts 10","94"
"2027-01-18","1 Chr 16-18; Acts 11","117"
"2027-01-19","1 Chr 19-20","27"
"2027-01-20","1 Chr 21-23; Acts 12","106"
"2027-01-21","1 Chr 24-25; Acts 13","114"
"2027-01-22","1 Chr 26-28","87"
"2027-01-23","1 Chr 29; 2 Chr 1-2; Acts 14","93"
"2027-01-24","2 Chr 3-4; Acts 15","80"
"2027-01-25","2 Chr 5-7","78"
"2027-01-26","2 Chr 8-9; Acts 16","89"
"2027-01-27","2 Chr 10-12; Acts 17","92"
"2027-01-28","2 Chr 13-14; Acts 18","65"
"2027-01-29","2 Chr 15-17","52"
"2027-01-30","2 Chr 18-19; Acts 19","86"
"2027-01-31","2 Chr 20-22; Acts 20","107"
"2027-02-01","2 Chr 23-24","48"
"2027-02-02","2 Chr 25-27; Acts 21","100"
"2027-02-03","2 Chr 28-30; Acts 22","120"
"2027-02-04","2 Chr 31-32; Acts 23","89"
"2027-02-05","2 Chr 33-35","85"
"2027-02-06","2 Chr 36; Ezr 1; Acts 24","61"
"2027-02-07","Ezr 2-4; Acts 25","134"
"2027-02-08","Ezr 5-6","39"
"2027-02-09","Ezr 7-9; Acts 26","111"
"2027-02-10","Ezr 10; Neh 1; Acts 27","99"
"2027-02-11","Neh 2-4; Acts 28","106"
"2027-02-12","Neh 5-6","38"
"2027-02-13","Neh 7-9; Rom 1","161"
"2027-02-14","Neh 10-12; Rom 2","151"
"2027-02-15","Neh 13; Est 1","53"
"2027-02-16","Est 2-4; Rom 3","86"
"2027-02-17","Est 5-6; Rom 4","53"
"2027-02-18","Est 7-9; Rom 5","80"
"2027-02-19","Est 10; Job 1","25"
"2027-02-20","Job 2-4; Rom 6","83"
"2027-02-21","Job 5-6; Rom 7","82"
"2027-02-22","Job 7-9","78"
"2027-02-23","Job 10-11; Rom 8","81"
"2027-02-24","Job 12-14; Rom 9","108"
"2027-02-25","Job 15-17; Rom 10","94"
"2027-02-26","Job 18-19","50"
"2027-02-27","Job 20-22; Rom 11","129"
"2027-02-28","Job 23-24; Rom 12","63"
"2027-03-01","Job 25-27","43"
"2027-03-02","Job 28-29; Rom 13","67"
"2027-03-03","Job 30-32; Rom 14","116"
"2027-03-04","Job 33-34; Rom 15","103"
"2027-03-05","Job 35-37","73"
"2027-03-06","Job 38-39; Rom 16","98"
"2027-03-07","Job 40-42; 1 Co 1","106"
"2027-03-08","Ps 1-3","26"
"2027-03-09","Ps 4-5; 1 Co 2","36"
"2027-03-10","Ps 6-8; 1 Co 3","59"
"2027-03-11","Ps 9-10; 1 Co 4","59"
"2027-03-12","Ps 11-13","21"
"2027-03-13","Ps 14-15; 1 Co 5","25"
"2027-03-14","Ps 16-18; 1 Co 6","96"
"2027-03-15","Ps 19-20","23"
"2027-03-16","Ps 21-23; 1 Co 7","90"
"2027-03-17","Ps 24-25; 1 Co 8","45"
"2027-03-18","Ps 26-28; 1 Co 9","62"
"2027-03-19","Ps 29-31","47"
"2027-03-20","Ps 32-33; 1 Co 10","66"
"2027-03-21","Ps 34-36; 1 Co 11","96"
"2027-03-22","Ps 37-38","62"
"2027-03-23","Ps 39-41; 1 Co 12","74"
"2027-03-24","Ps 42-43; 1 Co 13","29"
"2027-03-25","Ps 44-46; 1 Co 14","94"
"2027-03-26","Ps 47-48","23"
"2027-03-27","Ps 49-51; 1 Co 15","120"
"2027-03-28","Ps 52-53; 1 Co 16","39"
"2027-03-29","Ps 54-56","43"
"2027-03-30","Ps 57-59; 2 Co 1","63"
"2027-03-31","Ps 60-61; 2 Co 2","37"
"2027-04-01","Ps 62-64; 2 Co 3","51"
"2027-04-02","Ps 65-66","33"
"2027-04-03","Ps 67-69; 2 Co 4","96"
"2027-04-04","Ps 70-71; 2 Co 5","50"
"2027-04-05","Ps 72-74","71"
"2027-04-06","Ps 75-76; 2 Co 6","40"
"2027-04-07","Ps 77-79; 2 Co 7","121"
"2027-04-08","Ps 80-81","35"
"2027-04-09","Ps 82-84; 2 Co 8","62"
"2027-04-10","Ps 85-87; 2 Co 9","52"
"2027-04-11","Ps 88-89; 2 Co 10","88"
"2027-04-12","Ps 90-92","48"
"2027-04-13","Ps 93-94; 2 Co 11","61"
"2027-04-14","Ps 95-97; 2 Co 12","57"
"2027-04-15","Ps 98-99","18"
"2027-04-16","Ps 100-102; 2 Co 13","55"
"2027-04-17","Ps 103-104; Gal 1","81"
"2027-04-18","Ps 105-107; Gal 2","157"
"2027-04-19","Ps 108-109","44"
"2027-04-20","Ps 110-112; Gal 3","56"
"2027-04-21","Ps 113-115; Gal 4","66"
"2027-04-22","Ps 116-117","21"
"2027-04-23","Ps 118-120; Gal 5","238"
"2027-04-24","Ps 121-122; Gal 6","35"
"2027-04-25","Ps 123-125; Eph 1","40"
"2027-04-26","Ps 126-127","11"
"2027-04-27","Ps 128-130; Eph 2","44"
"2027-04-28","Ps 131-132; Eph 3","42"
"2027-04-29","Ps 133-135","27"
"2027-04-30","Ps 136-137; Eph 4","67"
"2027-05-01","Ps 138-140; Eph 5","78"
"2027-05-02","Ps 141-143; Eph 6","53"
"2027-05-03","Ps 144-145","36"
"2027-05-04","Ps 146-148; Phil 1","74"
"2027-05-05","Ps 149-150; Phil 2","45"
"2027-05-06","Pro 1-3","90"
"2027-05-07","Pro 4-5; Phil 3","71"
"2027-05-08","Pro 6-8; Phil 4","121"
"2027-05-09","Pro 9-10; Col 1","79"
"2027-05-10","Pro 11-13","84"
"2027-05-11","Pro 14-15; Col 2","91"
"2027-05-12","Pro 16-18; Col 3","110"
"2027-05-13","Pro 19-21","90"
"2027-05-14","Pro 22-23; Col 4","82"
"2027-05-15","Pro 24-26; 1 Th 1","100"
"2027-05-16","Pro 27-28; 1 Th 2","75"
"2027-05-17","Pro 29-31","91"
"2027-05-18","Ecc 1-2; 1 Th 3","57"
"2027-05-19","Ecc 3-5; 1 Th 4","76"
"2027-05-20","Ecc 6-7","41"
"2027-05-21","Ecc 8-10; 1 Th 5","83"
"2027-05-22","Ecc 11-12; 2 Th 1","36"
"2027-05-23","Sos 1-3; 2 Th 2","62"
"2027-05-24","Sos 4-6","45"
"2027-05-25","Sos 7-8; 2 Th 3","45"
"2027-05-26","Isa 1-3; 1 Ti 1","99"
"2027-05-27","Isa 4-5","36"
"2027-05-28","Isa 6-8; 1 Ti 2","75"
"2027-05-29","Isa 9-10; 1 Ti 3","71"
"2027-05-30","Isa 11-13; 1 Ti 4","60"
"2027-05-31","Isa 14-15","41"
"2027-06-01","Isa 16-18; 1 Ti 5","60"
"2027-06-02","Isa 19-20; 1 Ti 6","52"
"2027-06-03","Isa 21-23","60"
"2027-06-04","Isa 24-26; 2 Ti 1","74"
"2027-06-05","Isa 27-28; 2 Ti 2","68"
"2027-06-06","Isa 29-31; 2 Ti 3","83"
"2027-06-07","Isa 32-33","44"
"2027-06-08","Isa 34-36; 2 Ti 4","71"
"2027-06-09","Isa 37-38; Tit 1","76"
"2027-06-10","Isa 39-41","68"
"2027-06-11","Isa 42-43; Tit 2","68"
"2027-06-12","Isa 44-46; Tit 3","81"
"2027-06-13","Isa 47-48; Phlm","62"
"2027-06-14","Isa 49-51","60"
"2027-06-15","Isa 52-54; Heb 1","58"
"2027-06-16","Isa 55-56; Heb 2","43"
"2027-06-17","Isa 57-59","56"
"2027-06-18","Isa 60-61; Heb 3","52"
"2027-06-19","Isa 62-64; Heb 4","59"
"2027-06-20","Isa 65-66","49"
"2027-06-21","Jer 1-3; Heb 5","95"
"2027-06-22","Jer 4-5; Heb 6","82"
"2027-06-23","Jer 6-8; Heb 7","114"
"2027-06-24","Jer 9-10","51"
"2027-06-25","Jer 11-13; Heb 8","80"
"2027-06-26","Jer 14-16; Heb 9","92"
"2027-06-27","Jer 17-18","50"
"2027-06-28","Jer 19-21; Heb 10","86"
"2027-06-29","Jer 22-23; Heb 11","110"
"2027-06-30","Jer 24-26; Heb 12","101"
"2027-07-01","Jer 27-28","39"
"2027-07-02","Jer 29-31; Heb 13","121"
"2027-07-03","Jer 32-33; Jam 1","97"
"2027-07-04","Jer 34-36","73"
"2027-07-05","Jer 37-38; Jam 2","75"
"2027-07-06","Jer 39-41; Jam 3","70"
"2027-07-07","Jer 42-44; Jam 4","82"
"2027-07-08","Jer 45-46","33"
"2027-07-09","Jer 47-49; Jam 5","113"
"2027-07-10","Jer 50-51; 1 Pe 1","135"
"2027-07-11","Jer 52; Lam 1-2","78"
"2027-07-12","Lam 3-4; 1 Pe 2","113"
"2027-07-13","Lam 5; Eze 1-2; 1 Pe 3","82"
"2027-07-14","Eze 3-4; 1 Pe 4","63"
"2027-07-15","Eze 5-7","58"
"2027-07-16","Eze 8-9; 1 Pe 5","43"
"2027-07-17","Eze 10-12; 2 Pe 1","96"
"2027-07-18","Eze 13-15","54"
"2027-07-19","Eze 16-17; 2 Pe 2","109"
"2027-07-20","Eze 18-20; 2 Pe 3","113"
"2027-07-21","Eze 21-22; 1 Jn 1","73"
"2027-07-22","Eze 23-25","93"
"2027-07-23","Eze 26-27; 1 Jn 2","86"
"2027-07-24","Eze 28-30; 1 Jn 3","97"
"2027-07-25","Eze 31-32","50"
"2027-07-26","Eze 33-35; 1 Jn 4","100"
"2027-07-27","Eze 36-37; 1 Jn 5","87"
"2027-07-28","Eze 38-40; 2 Jn","114"
"2027-07-29","Eze 41-43","73"
"2027-07-30","Eze 44-45; 3 Jn","70"
"2027-07-31","Eze 46-48; Jude","107"
"2027-08-01","Dan 1-2","70"
"2027-08-02","Dan 3-5; Rev 1","118"
"2027-08-03","Dan 6-7; Rev 2","85"
"2027-08-04","Dan 8-10; Rev 3","97"
"2027-08-05","Dan 11-12","58"
"2027-08-06","Hos 1-3; Rev 4","50"
"2027-08-07","Hos 4-5; Rev 5","48"
"2027-08-08","Hos 6-8","41"
"2027-08-09","Hos 9-11; Rev 6","61"
"2027-08-10","Hos 12-13; Rev 7","47"
"2027-08-11","Hos 14; Joe 1-2; Rev 8","74"
"2027-08-12","Joe 3; Amo 1","36"
"2027-08-13","Amo 2-4; Rev 9","65"
"2027-08-14","Amo 5-6; Rev 10","52"
"2027-08-15","Amo 7-9","46"
"2027-08-16","Oba; Jon 1; Rev 11","57"
"2027-08-17","Jon 2-4; Rev 12","48"
"2027-08-18","Mic 1-2; Rev 13","47"
"2027-08-19","Mic 3-5","40"
"2027-08-20","Mic 6-7; Nah 1; Rev 14","71"
"2027-08-21","Nah 2-3; Rev 15","40"
"2027-08-22","Hab 1-3","56"
"2027-08-23","Zep 1-2; Rev 16","54"
"2027-08-24","Zep 3; Hag 1-2; Rev 17","76"
"2027-08-25","Zec 1-2; Rev 18","58"
"2027-08-26","Zec 3-5","35"
"2027-08-27","Zec 6-7; Rev 19","50"
"2027-08-28","Zec 8-10; Rev 20","67"
"2027-08-29","Zec 11-12","31"
"2027-08-30","Zec 13-14; Mal 1; Rev 21","71"
"2027-08-31","Mal 2-4; Rev 22","61"
